name,city,address,phone,website,email,category,overture_id,latitude,longitude,source_release,score,priority,score_reasons,lead_type,recommended_offer
AВА Сервіс,Чернігів,"Ивана Мазепы улица, 57Е",+380631706373,http://www.ctoava.net.ua/,ctoava@ukr.net,automotive_repair,e83bd701-d3cf-4c7b-ad60-542c1c83e5f1,51.47391128540039,31.2586612701416,2026-07-22.0,3,MEDIUM,+2: website використовує http:// | +1: email на загальнодоступному сервісі,HTTP_WEBSITE,Оновлення сайту та HTTPS
BG AUTO,Київ,"Вячеслава Черновола улица, 46",+380930810101,http://ua.bastion.com.ua/,bgauto@gmail.com,automotive_repair,3da47ac0-120a-4bc7-9a1a-ff28f1f0c826,50.387508392333984,30.386489868164062,2026-07-22.0,3,MEDIUM,+2: website використовує http:// | +1: email на загальнодоступному сервісі,HTTP_WEBSITE,Оновлення сайту та HTTPS
CarDon,Київ,"Кирилівська вулиця, 69В",+380973214105,http://www.cardon.com.ua/,cardonshop@gmail.com,automotive_repair,59dfeff8-0513-41ed-bbeb-1c87f2e99ca4,50.47616958618164,30.485918045043945,2026-07-22.0,3,MEDIUM,+2: website використовує http:// | +1: email на загальнодоступному сервісі,HTTP_WEBSITE,Оновлення сайту та HTTPS
ChepaRacing,Київ,"Васильківська вулиця, 2",+380674463102,http://Www.cheparacing.com/,oleksiiholovnia@gmail.com,automotive_repair,dc07b789-52d1-48ac-8aa7-d5278cb3c241,50.35282897949219,30.461166381835938,2026-07-22.0,3,MEDIUM,+2: website використовує http:// | +1: email на загальнодоступному сервісі,HTTP_WEBSITE,Оновлення сайту та HTTPS
CUBE3,Київ,"Глибочицька вулиця, 16",+380934552337,http://www.cube3.com.ua/,cube3.com.ua@gmail.com,automotive_repair,4d0a2f2f-34d4-45b3-bc66-2a949c342277,50.460933685302734,30.48894691467285,2026-07-22.0,3,MEDIUM,+2: website використовує http:// | +1: email на загальнодоступному сервісі,HTTP_WEBSITE,Оновлення сайту та HTTPS
Dark Box,Київ,"Автозаводська вулиця, 24",+380660166777,http://darkbox.com.ua/,oleg.kashelyuk@gmail.com,automotive_repair,341b1d41-5755-4a72-8eb2-96c8b7f317eb,50.502464294433594,30.46392250061035,2026-07-22.0,3,MEDIUM,+2: website використовує http:// | +1: email на загальнодоступному сервісі,HTTP_WEBSITE,Оновлення сайту та HTTPS
Glowith Auto,Київ,вулиця Гліба Бабича 2,+380968745575,http://glowith-auto.ua/,glowithauto@gmail.com,automotive_repair,9fa6bee2-b1f2-4f3e-ad41-54b4be29ccc7,50.44020080566406,30.660799026489258,2026-07-22.0,3,MEDIUM,+2: website використовує http:// | +1: email на загальнодоступному сервісі,HTTP_WEBSITE,Оновлення сайту та HTTPS
ItalService,Київ,"Куренівська вулиця, 29",+380442234325,http://italservice.kiev.ua/,italservisekiev@gmail.com,automotive_repair,642944fc-cb39-4dac-9a6e-d42f496f0ab7,50.49888610839844,30.47863006591797,2026-07-22.0,3,MEDIUM,+2: website використовує http:// | +1: email на загальнодоступному сервісі,HTTP_WEBSITE,Оновлення сайту та HTTPS
"LAB13 детейлинг центр: оклейка пленками, тюнинг, химчистка, автомойка",Київ,"Столичное шоссе, 101в",+380730000130,http://Lab13.com.ua/,lab13detailing@gmail.com,automotive_services_and_repair,687a1088-1d29-41f2-aafe-41be3d3153e9,50.34493637084961,30.552032470703125,2026-07-22.0,3,MEDIUM,+2: website використовує http:// | +1: email на загальнодоступному сервісі,HTTP_WEBSITE,Оновлення сайту та HTTPS
Master-Key,Київ,"Федора Ернста вулиця, 14",+380935526758,http://master-key.com.ua/,vutik@ukr.net,automotive_repair,019b63fb-f4f0-4f7d-9b5a-a5cf9edb8d57,50.41703414916992,30.464359283447266,2026-07-22.0,3,MEDIUM,+2: website використовує http:// | +1: email на загальнодоступному сервісі,HTTP_WEBSITE,Оновлення сайту та HTTPS
Old School Garage,Київ,"Залізничне шосе, 4",+380971370999,http://Osgmoto.com.ua/,alexkotelevich@gmail.com,automotive_repair,2dfd0281-8ac8-43b9-b0bb-fc76c9feb1de,50.4066276550293,30.530393600463867,2026-07-22.0,3,MEDIUM,+2: website використовує http:// | +1: email на загальнодоступному сервісі,HTTP_WEBSITE,Оновлення сайту та HTTPS
ProSecurity,Київ,"Столичне шосе, 91А",+380732370003,http://prosecurity.com.ua/,pro.s.ukraine@gmail.com,automotive_services_and_repair,9b8f08b8-c754-42ed-a8dd-93fedfd5db93,50.34498977661133,30.551799774169922,2026-07-22.0,3,MEDIUM,+2: website використовує http:// | +1: email на загальнодоступному сервісі,HTTP_WEBSITE,Оновлення сайту та HTTPS
Radauto,Київ,"Демьяна Коротченко улица, 17",+380982304040,http://radauto.com.ua/,radauto82@gmail.com,automotive_repair,1194c60c-e9e4-42ab-ba4a-53aa2b645a98,50.43315887451172,30.33843231201172,2026-07-22.0,3,MEDIUM,+2: website використовує http:// | +1: email на загальнодоступному сервісі,HTTP_WEBSITE,Оновлення сайту та HTTPS
АвтоМанія,Київ,"Генерала Ватутіна провулок, 52",+380635185262,http://avtomania.com.ua/,avto-mania.com.ua@ukr.net,automotive_repair,6db5447e-8e42-4776-a30b-de6b04c67fcc,50.39583969116211,30.42626953125,2026-07-22.0,3,MEDIUM,+2: website використовує http:// | +1: email на загальнодоступному сервісі,HTTP_WEBSITE,Оновлення сайту та HTTPS
Автомастерская AK Service,Київ,"Будіндустрії вулиця, 7",+380672901090,http://akservice.com.ua/,kiev.akservice@gmail.com,automotive_repair,6aac1227-2c4e-429f-8a21-bf63f76e9365,50.401329040527344,30.578786849975586,2026-07-22.0,3,MEDIUM,+2: website використовує http:// | +1: email на загальнодоступному сервісі,HTTP_WEBSITE,Оновлення сайту та HTTPS
Автосервис ДИАС,Київ,"Кіровоградська вулиця, 76",+380504695759,http://dias-auto.com.ua/,dias.auto@ukr.net,automotive_repair,dc3b74c2-f053-40ef-808a-ea69203c88a3,50.4108772277832,30.498722076416016,2026-07-22.0,3,MEDIUM,+2: website використовує http:// | +1: email на загальнодоступному сервісі,HTTP_WEBSITE,Оновлення сайту та HTTPS
Автосервіс «АвтоСтимул»,Київ,"Белогородская улица, 162",+380678841331,http://autostimul.com.ua/,stoautostimul@gmail.com,automotive_repair,bffbea70-4570-42aa-abab-8d0ab93b4333,50.34376907348633,30.280696868896484,2026-07-22.0,3,MEDIUM,+2: website використовує http:// | +1: email на загальнодоступному сервісі,HTTP_WEBSITE,Оновлення сайту та HTTPS
Автосервіс Кулібін-АВТО,Київ,"Валентини Чайки вулиця, 2",+380507655555,http://kulibin-auto.com.ua/,kulibin.auto.group@gmail.com,automotive_repair,17702f22-c3f9-4c51-a5d2-cec676bb8167,50.4344367980957,30.308916091918945,2026-07-22.0,3,MEDIUM,+2: website використовує http:// | +1: email на загальнодоступному сервісі,HTTP_WEBSITE,Оновлення сайту та HTTPS
Автотехнік,Київ,"Івана Лепсе бульвар, 4",+380674028454,http://autotechnik.com.ua/,4303771@ukr.net,automotive_repair,1195593b-f49d-4fa6-bc86-ede03b454096,50.448387145996094,30.42725372314453,2026-07-22.0,3,MEDIUM,+2: website використовує http:// | +1: email на загальнодоступному сервісі,HTTP_WEBSITE,Оновлення сайту та HTTPS
Мир Гармин,Київ,"Костянтина Ушинського вулиця, 3",+380679888887,http://mirgarmin.com.ua/,mirgarmin@gmail.com,automotive_repair,97941104-a593-4155-bd56-c424be0a8323,50.43586349487305,30.450756072998047,2026-07-22.0,3,MEDIUM,+2: website використовує http:// | +1: email на загальнодоступному сервісі,HTTP_WEBSITE,Оновлення сайту та HTTPS
Премиум сервис,Київ,"Степана Бандеры проспект, 21",+380800300092,http://premium-service.kiev.ua/,premiumserviceua@gmail.com,automotive_repair,fec82bb5-cce9-41c9-b0b7-0449d48e25e7,50.4895133972168,30.49330711364746,2026-07-22.0,3,MEDIUM,+2: website використовує http:// | +1: email на загальнодоступному сервісі,HTTP_WEBSITE,Оновлення сайту та HTTPS
"СТО ""Мотор""  NissaN - Infiniti",Київ,"Бережанська вулиця, 12Б",+380971644950,http://motor-auto.com.ua/,yura.lepihov@i.ua,automotive_repair,89bdf2ef-f5d2-4175-9df4-3d282ab0f208,50.512149810791016,30.461139678955078,2026-07-22.0,3,MEDIUM,+2: website використовує http:// | +1: email на загальнодоступному сервісі,HTTP_WEBSITE,Оновлення сайту та HTTPS
СТО Youcar Шиномонтаж Автосервіс,Київ,"Хотівська вулиця, 3",+380638176555,http://youcar.kiev.ua/,stoyoucar@gmail.com,automotive_repair,dd0cf057-a14d-4714-b84c-46dc49337e7e,50.39903259277344,30.500852584838867,2026-07-22.0,3,MEDIUM,+2: website використовує http:// | +1: email на загальнодоступному сервісі,HTTP_WEBSITE,Оновлення сайту та HTTPS
Сто Пантеон,Київ,"Новокостянтинівська вулиця, 2А",+380975877616,http://autoproservice.com.ua/,drive_parts@ukr.net,automotive_repair,9e02a7fb-2c14-4033-9252-691af6322767,50.47883224487305,30.493240356445312,2026-07-22.0,3,MEDIUM,+2: website використовує http:// | +1: email на загальнодоступному сервісі,HTTP_WEBSITE,Оновлення сайту та HTTPS
Тюнінг-ательє South.Art,Київ,"Ізюмська вулиця, 5А",+380959023202,http://southart.com.ua/,southart.info@gmail.com,automotive_services_and_repair,f5bbc55c-438c-45da-a2a0-58a159d51629,50.41264343261719,30.515867233276367,2026-07-22.0,3,MEDIUM,+2: website використовує http:// | +1: email на загальнодоступному сервісі,HTTP_WEBSITE,Оновлення сайту та HTTPS
Укргума,Київ,"Кринична вулиця, 27",+380687777754,http://ukrguma.com.ua/,ukrguma.k@gmail.com,tire_dealer_and_repair,b3864079-08f8-45f9-b288-630f2d0943d8,50.399383544921875,30.476459503173828,2026-07-22.0,3,MEDIUM,+2: website використовує http:// | +1: email на загальнодоступному сервісі,HTTP_WEBSITE,Оновлення сайту та HTTPS
Шиномонтаж All Tire,Київ,"Сумська вулиця, 2",+380977587785,http://alltire.com.ua/,alltireua@gmail.com,tire_dealer_and_repair,2cb5daae-3ef2-460f-90cd-be9b7e47eb1f,50.39808654785156,30.489404678344727,2026-07-22.0,3,MEDIUM,+2: website використовує http:// | +1: email на загальнодоступному сервісі,HTTP_WEBSITE,Оновлення сайту та HTTPS
4x4 Off-Road Center,Київ,"Олекси Тихого вулиця, 68б",+380443647455,http://www.auto.com.ua/,info@off-road.com.ua,automotive_repair,3a846212-911f-44ea-aa0a-f9403d17d509,50.450469970703125,30.438920974731445,2026-07-22.0,2,MEDIUM,+2: website використовує http://,HTTP_WEBSITE,Оновлення сайту та HTTPS
Bosh Avto Servis Dias Ukraine,Київ,"Академіка Заболотного вулиця, 5",+380503665775,http://dias-service.com.ua/,sto@dias-service.com.ua,automotive_repair,6cad680e-a2ba-42a5-9158-8d2f245c8613,50.36644744873047,30.46506690979004,2026-07-22.0,2,MEDIUM,+2: website використовує http://,HTTP_WEBSITE,Оновлення сайту та HTTPS
BSS Motorsport,Київ,"Степана Бандери проспект, 5",+380980091100,http://bssmotorsport.com/,info@bssmotorsport.com,automotive_services_and_repair,691c9ba8-0f3a-4721-bb3b-90f12b85a05f,50.48955154418945,30.47041130065918,2026-07-22.0,2,MEDIUM,+2: website використовує http://,HTTP_WEBSITE,Оновлення сайту та HTTPS
Coyote-Service,Київ,"Пирогівський Шлях вулиця, 96",+380444658050,http://coyote-service.com.ua/,,automotive_repair,3e6b8d38-20c0-4014-ae69-a8eb7365a582,50.35228729248047,30.53756332397461,2026-07-22.0,2,MEDIUM,+2: website використовує http://,HTTP_WEBSITE,Оновлення сайту та HTTPS
Deutsche Garage,Київ,"Романа Шухевича проспект, 4",+380632946363,http://d-garage.com.ua/,info@d-garage.com.ua,automotive_repair,bab91f51-10fd-4480-89cf-a21409fc6d89,50.49586868286133,30.573720932006836,2026-07-22.0,2,MEDIUM,+2: website використовує http://,HTTP_WEBSITE,Оновлення сайту та HTTPS
forcars pro,Київ,"Ігоря Брановицького вулиця, 4",+380677722222,http://forcars.pro/,info@forcars.pro,automotive_services_and_repair,d7e1b8f4-526d-4da8-af76-e65ae9c2197a,50.420982360839844,30.534353256225586,2026-07-22.0,2,MEDIUM,+2: website використовує http://,HTTP_WEBSITE,Оновлення сайту та HTTPS
Manic Mechanics,Київ,"Лебединська вулиця, 10",+380983000199,http://mm.kiev.ua/,sto@mm.kiev.ua,automotive_repair,24f20d71-d615-4fb2-ad0c-8c10632b4957,50.52737808227539,30.47888946533203,2026-07-22.0,2,MEDIUM,+2: website використовує http://,HTTP_WEBSITE,Оновлення сайту та HTTPS
Patriot Service,Київ,"Оранжерейна вулиця, 1",+380632054888,http://www.patriot-service.com/,info@patriot-service.com,automotive_repair,7c304232-001c-4e00-9a5a-246cfb4f23ac,50.4651985168457,30.44923210144043,2026-07-22.0,2,MEDIUM,+2: website використовує http://,HTTP_WEBSITE,Оновлення сайту та HTTPS
Авторесурс Киев,Київ,"Озёрная улица, 1",+380443337941,http://www.autoresurce.kiev.ua/,inbox@auto-service.com.ua,automotive_repair,376bf097-0cbf-43a1-90ee-736f7ccdd971,50.52626419067383,30.486236572265625,2026-07-22.0,2,MEDIUM,+2: website використовує http://,HTTP_WEBSITE,Оновлення сайту та HTTPS
Автоцентр Богдан-Авто Чернигов,Чернігів,"Мира проспект, 241",+380732687853,http://hyundai-cn.com.ua/,,automotive_repair,68d32898-e586-490b-873c-b8e1ab36d81b,51.53345489501953,31.267852783203125,2026-07-22.0,2,MEDIUM,+2: website використовує http://,HTTP_WEBSITE,Оновлення сайту та HTTPS
Автоцентр Осокорки,Київ,"Центральна вулиця, 91",+380675556555,http://www.avtocenter-osokorki.com.ua/,,automotive_repair,8d81021c-b700-4138-b4ee-b54061cdd2ab,50.364192962646484,30.606510162353516,2026-07-22.0,2,MEDIUM,+2: website використовує http://,HTTP_WEBSITE,Оновлення сайту та HTTPS
Альо шинА,Київ,"Василя Кіквідзе вулиця, 45",+380442375333,http://www.aleshina.com.ua/,,tire_dealer_and_repair,3cb9cca5-d585-4140-bb8d-f71df1ac615b,50.40058898925781,30.55477523803711,2026-07-22.0,2,MEDIUM,+2: website використовує http://,HTTP_WEBSITE,Оновлення сайту та HTTPS
АТЛ - автосервис,Київ,"Льва Симиренка вулиця, 36",+380674340538,http://www.atl.ua,,automotive_repair,c7de9cec-7aff-4b19-af9d-d3b701673feb,50.40677261352539,30.405359268188477,2026-07-22.0,2,MEDIUM,+2: website використовує http://,HTTP_WEBSITE,Оновлення сайту та HTTPS
Газ,Київ,"Апрельский переулок, 1",+380800218048,http://www.motor-gas.ua/,info@motor-gas.ua,automotive_repair,9093cc03-eece-4d71-ba5a-745cad4ce71b,50.49739456176758,30.42913818359375,2026-07-22.0,2,MEDIUM,+2: website використовує http://,HTTP_WEBSITE,Оновлення сайту та HTTPS
Данон Україна,Київ,"Степана Бандери проспект, 28А",+380445948000,http://www.danone.ua/,reception.ukraine@danone.com,tire_dealer_and_repair,c104c52b-5866-4bcc-a3c5-0a1f11cdd377,50.48516845703125,30.53144645690918,2026-07-22.0,2,MEDIUM,+2: website використовує http://,HTTP_WEBSITE,Оновлення сайту та HTTPS
"Компания ""Фанавто""",Київ,"проспект Повітряних Сил , 86А",+380676939377,http://auto.fanauto.com.ua/index.html,info@fanauto.com.ua,automotive_repair,ee3eceb8-5351-4383-972b-c51fbd2215a6,50.413978576660156,30.438350677490234,2026-07-22.0,2,MEDIUM,+2: website використовує http://,HTTP_WEBSITE,Оновлення сайту та HTTPS
Мактранс,Київ,"Залізничне шосе, 4",+380675272236,http://akpp.com.ua/,maktrans@akpp.ua,automotive_repair,9e6a225e-767b-41e7-a380-994e9aaed185,50.406776428222656,30.53038215637207,2026-07-22.0,2,MEDIUM,+2: website використовує http://,HTTP_WEBSITE,Оновлення сайту та HTTPS
Ралли Сервис Центр,Київ,"Магнітогорська вулиця, 1",+380672424833,http://www.sto-rsc.com.ua/,info@sto-rsc.com.ua,automotive_repair,c9db96c6-b0d1-41ab-a4b9-da4eb70fc2a2,50.45388412475586,30.639516830444336,2026-07-22.0,2,MEDIUM,+2: website використовує http://,HTTP_WEBSITE,Оновлення сайту та HTTPS
"СТО ""Омега""",Київ,"Медова вулиця, 5А",+380445932710,http://www.omega-avto.net/,,automotive_repair,ca0f09bf-f9b8-4b30-ac52-e10c3bc7b284,50.40913391113281,30.451976776123047,2026-07-22.0,2,MEDIUM,+2: website використовує http://,HTTP_WEBSITE,Оновлення сайту та HTTPS
СТО АвтоЦех,Київ,"Будіндустрії вулиця, 5",+380443334040,http://www.auto-tseh.com.ua/,t.ivanov@auto-tseh.com.ua,automotive_repair,e848f48a-744b-4e11-9b0e-6a18de38eef1,50.406402587890625,30.56937026977539,2026-07-22.0,2,MEDIUM,+2: website використовує http://,HTTP_WEBSITE,Оновлення сайту та HTTPS
СТО Спартанців,Київ,"В'ячеслава Чорновола вулиця, 41",+380961877877,http://spartans.com.ua/,,automotive_repair,883c8e72-7cc9-4dbc-9e6c-6814ff488557,50.45003128051758,30.483421325683594,2026-07-22.0,2,MEDIUM,+2: website використовує http://,HTTP_WEBSITE,Оновлення сайту та HTTPS
707 Шиномонтаж,Київ,"Каунаська вулиця, 13",+380969451515,https://707service.com/,pavlo.lisnyi@gmail.com,automotive_services_and_repair,93bddddb-8595-41f4-8408-7fae30edd093,50.43075942993164,30.628164291381836,2026-07-22.0,1,LOW,+1: email на загальнодоступному сервісі,MODERN_WEBSITE,Автоматизація запису або AI
Car Service,Київ,"Kyivska St, 44, c",+380680008365,https://www.car-service.in.ua/,autocentr-k@ukr.net,automotive_repair,2f425234-1934-4767-a888-dcef5ccbd8e7,50.37119674682617,30.322978973388672,2026-07-22.0,1,LOW,+1: email на загальнодоступному сервісі,MODERN_WEBSITE,Автоматизація запису або AI
Grande Auto Service,Київ,"Науки проспект, 159",+380732506050,https://grande-auto-service.kyiv.ua/,g.a.s.grandautoservice@gmail.com,automotive_repair,1f2ab87e-438b-4c5b-86c8-2efea1d7cb7f,50.37230682373047,30.546531677246094,2026-07-22.0,1,LOW,+1: email на загальнодоступному сервісі,MODERN_WEBSITE,Автоматизація запису або AI
SMART UA - Сервіс та Запчастини для Smart,Київ,"Узинська вулиця, 1",+380503849319,https://smart-ua.com.ua/,smart.ua.customers@gmail.com,automotive_repair,aabc2227-feab-4cd1-ad7d-4fd62eff13ea,50.438819885253906,30.393739700317383,2026-07-22.0,1,LOW,+1: email на загальнодоступному сервісі,MODERN_WEBSITE,Автоматизація запису або AI
STO SPcenter Avtoservis Povnoho Tsyklu,Київ,"Академіка Білецького вулиця, 34",+380963647726,https://spcenter.com.ua/,yevheniy_gnb@ukr.net,automotive_repair,04927ff6-9a1e-4955-899f-adc7b57b2c99,50.429237365722656,30.409509658813477,2026-07-22.0,1,LOW,+1: email на загальнодоступному сервісі,MODERN_WEBSITE,Автоматизація запису або AI
Street Motors Garage,Київ,"Академика Глушкова проспект, 9А",+380662092997,https://street-motors-garage.cb24.eu/,stmotorsgarage@gmail.com,automotive_services_and_repair,37cb6952-40e2-4eaa-bedc-0cdb18bc7a35,50.37194061279297,30.46811294555664,2026-07-22.0,1,LOW,+1: email на загальнодоступному сервісі,MODERN_WEBSITE,Автоматизація запису або AI
V8 GM Garage,Київ,"Пирогівський Шлях вулиця, 28А",+380674632424,https://gm-v8.com/,eighthcilinders@gmail.com,automotive_repair,fcc3aac6-b9f5-4d4b-a5f2-cbea7e28e72d,50.3845329284668,30.548830032348633,2026-07-22.0,1,LOW,+1: email на загальнодоступному сервісі,MODERN_WEBSITE,Автоматизація запису або AI
Автозапчастини Solavto,Київ,"Полярна вулиця, 2",+380677704110,https://solavto.com/,solavto1999@gmail.com,automotive_repair,d2faefc9-f310-41ee-a4a9-ad86c37c6c4f,50.518550872802734,30.469024658203125,2026-07-22.0,1,LOW,+1: email на загальнодоступному сервісі,MODERN_WEBSITE,Автоматизація запису або AI
Автосервіс “Motor” - СТО Чернігів,Чернігів,"Мира проспект, 193А",+380938400084,https://stomotor.com.ua/uk/,0938400084sto@gmail.com,automotive_repair,5ba7862b-e60d-426e-a726-1a3d9e36e1de,51.52055740356445,31.27301025390625,2026-07-22.0,1,LOW,+1: email на загальнодоступному сервісі,MODERN_WEBSITE,Автоматизація запису або AI
Автоскло Алмаз,Київ,"Пухівська вулиця, 2",+380672466410,https://autosklo.in.ua/,autoshibka@gmail.com,auto_glass_service,e77de2ba-bf6c-42dc-b9a1-b6143d466539,50.50770950317383,30.630329132080078,2026-07-22.0,1,LOW,+1: email на загальнодоступному сервісі,MODERN_WEBSITE,Автоматизація запису або AI
Мастер-Шина,Київ,"Набережно-Корчуватська вулиця, 54",+380677213610,https://master-shina.com.ua/,mastershina@ukr.net,tire_dealer_and_repair,5af85001-5fb8-49bf-a9c1-bc3cc102c93c,50.372100830078125,30.551063537597656,2026-07-22.0,1,LOW,+1: email на загальнодоступному сервісі,MODERN_WEBSITE,Автоматизація запису або AI
СТО Iron Master,Київ,"Науки проспект, 51",+380935196969,https://iron-master.com.ua/,ironmaster.ua@gmail.com,automotive_repair,0d086484-c549-4b21-b751-1ffe18b0745d,50.381465911865234,30.535926818847656,2026-07-22.0,1,LOW,+1: email на загальнодоступному сервісі,MODERN_WEBSITE,Автоматизація запису або AI
СТО Автосервис +,Київ,"Пухівська вулиця, 2",+380995314499,https://carservise.com.ua/,vladimirmelnik290874@gmail.com,automotive_repair,f6fc7ebc-c6ab-4283-bed4-7c92c941debb,50.50770950317383,30.630329132080078,2026-07-22.0,1,LOW,+1: email на загальнодоступному сервісі,MODERN_WEBSITE,Автоматизація запису або AI
СТО Катрин / Автосервис Киев,Київ,"Червоноткацька вулиця, 42Е",+380632333236,https://katrin-auto.kiev.ua/,ctokatrrin@gmail.com,automotive_repair,c0df7701-cb8f-4597-a5c0-dc06a2c5fa97,50.45633316040039,30.63751983642578,2026-07-22.0,1,LOW,+1: email на загальнодоступному сервісі,MODERN_WEBSITE,Автоматизація запису або AI
Тахосервіс,Київ,"Малинская, 1",+380503884880,https://tahoservice.ua/,tahokiev@gmail.com,automotive_repair,0e110a3b-f20e-4fab-94af-816d0a9d8813,50.47808837890625,30.369285583496094,2026-07-22.0,1,LOW,+1: email на загальнодоступному сервісі,MODERN_WEBSITE,Автоматизація запису або AI
Хаммер-центр,Київ,"Набережно-Лугова вулиця, 12",+380964974226,https://www.hammer-center.com.ua/,hammercentr@gmail.com,automotive_repair,8303778b-4b1c-4c35-beb2-acd145ca5a42,50.47676086425781,30.50489616394043,2026-07-22.0,1,LOW,+1: email на загальнодоступному сервісі,MODERN_WEBSITE,Автоматизація запису або AI
"Шинний центр TYRE PLUS компанії ""Інтерциклон""",Київ,"Здолбунівська вулиця, 7А",+380442280080,https://tyres-intc.com.ua/,interciklone@gmail.com,tire_dealer_and_repair,c203a81e-b2fa-480a-993c-a6c47af8e67d,50.414649963378906,30.617626190185547,2026-07-22.0,1,LOW,+1: email на загальнодоступному сервісі,MODERN_WEBSITE,Автоматизація запису або AI
ADS Autodom Service,Київ,"Електриків вулиця, 10",+380956617272,https://autodom.kiev.ua/,info@autodom.kiev.ua,automotive_repair,90f60164-f847-4413-bf61-412306a4773e,50.48236083984375,30.499568939208984,2026-07-22.0,0,LOW,Немає факторів,MODERN_WEBSITE,Автоматизація запису або AI
AMScars,Київ,"Радосинская улица, 56",+380970020404,https://auto-mechanic.in.ua/,,automotive_repair,e810a83b-e864-4acd-bf39-c157d07e8add,50.520606994628906,30.585857391357422,2026-07-22.0,0,LOW,Немає факторів,MODERN_WEBSITE,Автоматизація запису або AI
Avtoservis Oiler Luk'yanovka,Київ,"Нагірна вулиця, 47",+380443387512,,,automotive_repair,d7337abc-c1a4-4a27-94a5-fab99ca75bb7,50.47182846069336,30.485837936401367,2026-07-22.0,0,LOW,+5: немає website | -5: ознака великого бізнесу (Oiler),NO_WEBSITE,Новий сайт із онлайн-записом
